Name,Age,Gender,AreaOfLiving,ExtraCurricular,TenthMarks,TwelfthMarks,StudyHours,Attendance,PreviousCGPA,Performance
Shubham,19.0,Male,Urban,Yes,91.0,97.0,2.7,84,6.3,Average
Prathamesh,20.0,Male,Rural,Yes,91.0,65.0,4.1,40,8.6,Good
Sanket,19.0,Male,Urban,Yes,93.0,84.0,4.1,48,8.1,Good
Swanand,17.0,Male,Urban,No,87.0,87.0,3.0,55,9.2,Average
Sanket,20.0,Male,Urban,No,76.0,60.0,0.5,93,4.3,Poor
Akash,19.0,Male,Rural,Yes,84.0,76.0,5.1,41,9.4,Good
Tanvi,19.0,Female,Rural,No,79.0,62.0,1.8,76,6.4,Poor
Tejas,16.0,Male,Urban,No,81.0,70.0,3.6,85,5.3,Poor
Swapnil,16.0,Male,Rural,No,75.0,90.0,2.7,74,8.7,Average
Neha,16.0,Female,Urban,No,86.0,89.0,4.3,47,7.3,Average
Snehal,18.0,Female,Rural,No,63.0,90.0,4.4,52,4.9,Poor
Komal,16.0,Female,Rural,No,66.0,70.0,3.1,87,7.8,Average
Swanand,19.0,Male,Urban,No,71.0,98.0,3.1,41,8.5,Average
Bhushan,18.0,Male,Urban,Yes,90.0,66.0,3.8,97,6.6,Average
Neha,17.0,Female,Rural,No,65.0,82.0,3.5,95,10.0,Average
Akash,20.0,Male,Rural,Yes,99.0,78.0,4.0,43,8.0,Good
Shubham,16.0,Male,Rural,Yes,91.0,98.0,2.7,72,9.6,Average
Saurabh,18.0,Male,Rural,No,67.0,70.0,0.8,97,7.5,Poor
Tanvi,20.0,Female,Urban,Yes,63.0,92.0,2.6,80,7.4,Average
Pooja,20.0,Female,Urban,No,100.0,63.0,2.8,96,8.9,Average
Bhushan,19.0,Male,Rural,Yes,78.0,85.0,3.1,98,6.9,Average
Shubham,18.0,Male,Urban,No,85.0,96.0,5.0,88,7.4,Average
Rutuja,16.0,Female,Rural,No,62.0,73.0,3.4,67,6.4,Average
Amol,16.0,Male,Urban,No,92.0,90.0,1.8,90,7.0,Poor
Prachi,16.0,Female,Urban,No,65.0,70.0,3.5,86,5.9,Poor
Sahil,16.0,Male,Rural,No,75.0,85.0,3.0,73,6.4,Average
Shubham,19.0,Male,Urban,Yes,67.0,79.0,3.8,58,7.5,Average
Neha,19.0,Female,Rural,No,81.0,65.0,3.1,59,9.8,Average
Komal,19.0,Female,Rural,Yes,82.0,84.0,3.7,41,6.2,Average
Sanjana,20.0,Female,Rural,No,66.0,97.0,1.3,76,8.4,Poor
Prathamesh,19.0,Male,Rural,No,75.0,92.0,2.7,98,7.4,Average
Anjali,20.0,Female,Urban,Yes,91.0,70.0,2.6,78,8.9,Average
Tanvi,17.0,Female,Urban,Yes,94.0,62.0,4.4,82,6.2,Average
Yash,18.0,Male,Urban,Yes,69.0,96.0,3.2,74,6.3,Average
Triveni,20.0,Female,Urban,No,91.0,75.0,3.1,52,7.7,Average
Rohit,20.0,Male,Rural,No,81.0,83.0,3.8,77,5.9,Poor
Tanvi,19.0,Female,Rural,Yes,63.0,74.0,2.5,53,5.8,Poor
Pooja,20.0,Female,Urban,Yes,85.0,65.0,5.7,98,4.6,Poor
Yash,16.0,Male,Urban,No,76.0,84.0,1.2,52,7.7,Poor
Vaibhav,16.0,Male,Urban,No,97.0,71.0,0.5,73,9.5,Poor
Amit,19.0,Male,Urban,No,64.0,88.0,4.2,62,5.2,Poor
Aishwarya,18.0,Female,Rural,Yes,99.0,62.0,2.6,46,9.2,Average
Yash,19.0,Male,Rural,Yes,64.0,96.0,4.1,77,6.4,Average
Swanand,19.0,Male,Urban,Yes,76.0,93.0,1.0,77,8.5,Poor
Sagar,18.0,Male,Urban,No,69.0,97.0,0.8,80,7.9,Poor
Omkar,19.0,Male,Rural,Yes,70.0,100.0,0.7,100,7.5,Poor
Chaitanya,20.0,Male,Rural,No,85.0,99.0,2.4,100,7.3,Average
Gaurav,17.0,Male,Urban,No,72.0,73.0,2.5,90,6.5,Average
Snehal,17.0,Female,Urban,No,71.0,86.0,3.2,80,5.5,Poor
Swanand,19.0,Male,Rural,No,91.0,97.0,1.9,47,7.6,Poor
Komal,17.0,Female,Urban,No,80.0,69.0,3.0,53,7.4,Average
Swapnil,16.0,Male,Rural,Yes,70.0,76.0,3.5,63,5.8,Poor
Vaibhav,20.0,Male,Urban,No,82.0,84.0,0.6,86,5.4,Poor
Snehal,19.0,Female,Urban,No,75.0,89.0,3.4,51,9.3,Average
Neha,16.0,Female,Rural,No,80.0,92.0,3.4,49,8.0,Average
Shubham,20.0,Male,Urban,No,72.0,72.0,3.9,75,7.8,Average
Sagar,18.0,Male,Rural,No,63.0,87.0,2.3,77,7.8,Average
Shubham,18.0,Male,Rural,Yes,91.0,66.0,4.8,81,6.4,Average
Nikita,17.0,Female,Rural,No,85.0,86.0,2.9,81,6.4,Average
Siddhi,17.0,Female,Rural,Yes,98.0,85.0,2.9,84,7.5,Average
Komal,17.0,Female,Urban,Yes,66.0,66.0,2.9,59,6.7,Average
Yash,16.0,Male,Rural,No,69.0,81.0,2.5,60,5.7,Poor
Sahil,19.0,Male,Rural,Yes,82.0,79.0,1.0,83,7.0,Poor
Aishwarya,17.0,Female,Rural,Yes,83.0,83.0,4.8,91,6.9,Average
Swanand,20.0,Male,Rural,No,82.0,87.0,4.0,75,8.9,Good
Sayali,20.0,Female,Rural,Yes,74.0,63.0,3.7,91,7.1,Average
Omkar,18.0,Male,Urban,No,74.0,91.0,2.6,58,7.7,Average
Omkar,16.0,Male,Rural,Yes,71.0,82.0,1.4,61,6.3,Poor
Pooja,16.0,Female,Urban,Yes,74.0,76.0,3.4,95,8.7,Average
Tejas,19.0,Male,Urban,No,96.0,82.0,3.1,58,6.3,Average
Prathamesh,19.0,Male,Rural,Yes,72.0,100.0,1.0,57,7.0,Poor
Sanket,18.0,Male,Urban,Yes,82.0,77.0,2.5,78,5.7,Poor
Snehal,16.0,Female,Rural,Yes,61.0,98.0,3.6,93,6.7,Average
Aishwarya,19.0,Female,Rural,No,93.0,85.0,0.5,71,6.2,Poor
Tejas,19.0,Male,Urban,Yes,69.0,68.0,4.8,79,8.4,Good
Mayuri,18.0,Female,Urban,Yes,79.0,72.0,3.7,94,6.1,Average
Mayuri,18.0,Female,Urban,Yes,78.0,86.0,2.9,96,7.8,Average
Mayuri,18.0,Female,Urban,No,90.0,85.0,2.8,74,7.7,Average
Bhushan,18.0,Male,Urban,Yes,89.0,69.0,2.2,94,6.0,Average
Omkar,16.0,Male,Rural,Yes,64.0,70.0,3.5,76,4.0,Poor
Nikita,19.0,Female,Rural,No,99.0,64.0,3.2,88,8.0,Average
Omkar,19.0,Male,Rural,No,65.0,72.0,3.1,47,7.7,Average
Rutu,17.0,Female,Urban,Yes,81.0,84.0,2.7,50,7.5,Average
Prathamesh,16.0,Male,Urban,Yes,75.0,94.0,3.6,42,5.5,Poor
Pooja,20.0,Female,Urban,Yes,88.0,75.0,2.9,85,7.2,Average
Akash,19.0,Male,Rural,No,82.0,77.0,2.7,81,6.5,Average
Vaibhav,17.0,Male,Rural,Yes,79.0,64.0,1.0,53,9.3,Poor
Yash,18.0,Male,Rural,No,75.0,85.0,1.2,93,6.4,Poor
Chaitanya,19.0,Male,Urban,Yes,77.0,70.0,3.3,64,5.9,Poor
Snehal,18.0,Female,Rural,No,75.0,85.0,2.8,85,5.0,Poor
Mayuri,19.0,Female,Rural,No,88.0,94.0,3.5,88,8.7,Average
Amol,16.0,Male,Urban,No,85.0,75.0,3.2,87,7.9,Average
Prachi,19.0,Female,Rural,No,61.0,87.0,4.1,68,5.9,Poor
Shubham,20.0,Male,Urban,Yes,82.0,61.0,3.1,79,8.8,Average
Mayuri,17.0,Female,Urban,Yes,94.0,83.0,1.7,46,7.6,Poor
Shruti,18.0,Female,Urban,No,94.0,60.0,0.7,44,7.8,Poor
Sahil,20.0,Male,Rural,Yes,91.0,99.0,2.0,41,5.9,Poor
Neha,19.0,Female,Rural,Yes,80.0,67.0,5.2,64,6.9,Average
Bhushan,18.0,Male,Rural,No,88.0,76.0,5.1,46,6.1,Average
Prachi,18.0,Female,Urban,No,69.0,82.0,2.3,99,10.0,Average
Prachi,16.0,Female,Rural,Yes,83.0,100.0,3.3,68,7.7,Average
Prachi,17.0,Female,Rural,Yes,86.0,99.0,2.8,70,8.1,Average
Rohit,17.0,Male,Urban,No,86.0,70.0,4.3,84,7.3,Average
Sahil,18.0,Male,Urban,Yes,99.0,100.0,3.0,98,9.1,Average
Akash,19.0,Male,Urban,Yes,76.0,87.0,3.9,69,6.0,Average
Sahil,17.0,Male,Urban,Yes,84.0,63.0,1.9,83,7.7,Poor
Snehal,20.0,Female,Urban,Yes,61.0,86.0,4.2,52,8.2,Good
Rohit,16.0,Male,Urban,Yes,65.0,68.0,2.1,55,9.4,Average
Kiran,17.0,Male,Urban,No,81.0,61.0,1.3,63,6.1,Poor
Mrunal,16.0,Female,Rural,Yes,73.0,84.0,0.9,67,4.7,Poor
Nikita,16.0,Female,Rural,Yes,76.0,100.0,4.7,59,4.1,Poor
Kiran,16.0,Male,Rural,No,65.0,84.0,2.6,60,8.3,Average
Manasi,16.0,Female,Rural,No,100.0,89.0,2.7,54,9.2,Average
Nikita,17.0,Female,Urban,Yes,67.0,62.0,2.9,81,7.8,Average
Bhushan,18.0,Male,Urban,No,65.0,84.0,4.1,84,7.5,Average
Priya,20.0,Female,Rural,No,70.0,69.0,5.2,70,5.7,Poor
Manasi,17.0,Female,Urban,Yes,94.0,84.0,3.0,43,4.0,Poor
Omkar,19.0,Male,Urban,No,66.0,97.0,4.5,54,8.2,Good
Komal,17.0,Female,Urban,Yes,85.0,76.0,1.7,48,8.4,Poor
Amol,16.0,Male,Urban,No,74.0,71.0,2.4,52,7.0,Average
Tanvi,18.0,Female,Rural,Yes,66.0,60.0,3.1,48,7.8,Average
Mrunal,19.0,Female,Rural,No,83.0,72.0,2.5,74,8.0,Average
Mayuri,20.0,Female,Urban,No,75.0,62.0,3.8,93,4.0,Poor
Komal,18.0,Female,Urban,No,97.0,73.0,4.6,64,7.2,Average
Akash,20.0,Male,Urban,Yes,63.0,78.0,2.8,46,6.7,Average
Tejas,20.0,Male,Urban,No,70.0,68.0,3.1,100,5.5,Poor
Rutuja,20.0,Female,Urban,No,71.0,72.0,5.5,80,4.1,Poor
Vaibhav,16.0,Male,Rural,No,89.0,85.0,2.9,78,5.0,Poor
Sayali,16.0,Female,Urban,No,81.0,96.0,4.0,47,4.0,Poor
Tanvi,16.0,Female,Rural,No,81.0,82.0,4.2,70,6.2,Average
Priya,20.0,Female,Urban,Yes,83.0,83.0,0.8,47,6.9,Poor
Mrunal,16.0,Female,Rural,No,73.0,73.0,3.6,87,8.1,Average
Tanvi,19.0,Female,Urban,Yes,93.0,78.0,2.0,41,8.5,Average
Rohit,19.0,Male,Rural,No,74.0,63.0,4.0,51,7.5,Average
Shubham,17.0,Male,Urban,Yes,81.0,68.0,1.3,69,6.9,Poor
Sagar,20.0,Male,Urban,Yes,99.0,77.0,3.5,55,6.7,Average
Anjali,16.0,Female,Rural,Yes,87.0,66.0,3.9,42,9.7,Average
Tejas,16.0,Male,Urban,No,81.0,73.0,3.5,47,5.7,Poor
Amit,18.0,Male,Urban,Yes,61.0,92.0,3.7,63,6.9,Average
Swanand,18.0,Male,Urban,Yes,64.0,100.0,3.6,86,7.5,Average
Kiran,18.0,Male,Urban,No,93.0,63.0,2.9,63,7.3,Average
Kiran,19.0,Male,Urban,No,83.0,64.0,1.6,81,6.7,Poor
Akash,18.0,Male,Rural,No,76.0,65.0,1.5,74,7.4,Poor
Manasi,16.0,Female,Rural,No,65.0,69.0,3.7,91,6.0,Average
Tanvi,17.0,Female,Urban,No,60.0,65.0,3.7,96,7.6,Average
Tanvi,17.0,Female,Urban,Yes,99.0,80.0,2.4,96,8.0,Average
Aishwarya,20.0,Female,Rural,Yes,64.0,93.0,3.4,52,5.8,Poor
Tejas,16.0,Male,Urban,Yes,80.0,61.0,2.4,72,7.0,Average
Siddhi,17.0,Female,Urban,No,82.0,84.0,2.8,72,7.7,Average
Bhushan,16.0,Male,Rural,No,87.0,67.0,3.4,74,6.0,Average
Gaurav,20.0,Male,Rural,Yes,92.0,81.0,1.8,57,7.8,Poor
Priya,17.0,Female,Urban,No,70.0,91.0,4.0,63,6.0,Average
Shruti,17.0,Female,Urban,Yes,69.0,82.0,3.8,62,7.7,Average
Amit,20.0,Male,Urban,No,74.0,74.0,5.7,95,5.9,Poor
Kiran,17.0,Male,Urban,No,71.0,99.0,3.0,89,5.6,Poor
Mayuri,18.0,Female,Rural,No,71.0,66.0,3.4,64,7.2,Average
Sanjana,18.0,Female,Urban,Yes,98.0,75.0,3.8,76,7.9,Average
