Name,Age,Gender,AreaOfLiving,ExtraCurricular,TenthMarks,TwelfthMarks,StudyHours,Attendance,PreviousCGPA,Performance
Shubham,19,Male,Urban,Yes,91,97,2.7,84,6.3,Average
Prathamesh,20,Male,Rural,Yes,91,65,4.1,40,8.6,Good
Sanket,19,Male,Urban,Yes,93,84,4.1,48,8.1,Good
Swanand,17,Male,Urban,No,87,87,3.0,55,9.2,Average
Sanket,20,Male,Urban,No,76,60,0.5,93,4.3,Poor
Akash,19,Male,Rural,Yes,84,76,5.1,41,9.4,Good
Tanvi,19,Female,Rural,No,79,62,1.8,76,6.4,Poor
Tejas,16,Male,Urban,No,81,70,3.6,85,5.3,Poor
Swapnil,16,Male,Rural,No,75,90,2.7,74,8.7,Average
Neha,16,Female,Urban,No,86,89,4.3,47,7.3,Average
Snehal,18,Female,Rural,No,63,90,4.4,52,4.9,Poor
Komal,16,Female,Rural,No,66,70,3.1,87,7.8,Average
Swanand,19,Male,Urban,No,71,98,3.1,41,8.5,Average
Bhushan,18,Male,Urban,Yes,90,66,3.8,97,6.6,Average
Neha,17,Female,Rural,No,65,82,3.5,95,10.0,Average
Akash,20,Male,Rural,Yes,99,78,4.0,43,8.0,Good
Shubham,16,Male,Rural,Yes,91,98,2.7,72,9.6,Average
Saurabh,18,Male,Rural,No,67,70,0.8,97,7.5,Poor
Tanvi,20,Female,Urban,Yes,63,92,2.6,80,7.4,Average
Pooja,20,Female,Urban,No,100,63,2.8,96,8.9,Average
Bhushan,19,Male,Rural,Yes,78,85,3.1,98,6.9,Average
Shubham,18,Male,Urban,No,85,96,5.0,88,7.4,Average
Rutuja,16,Female,Rural,No,62,73,3.4,67,6.4,Average
Amol,16,Male,Urban,No,92,90,1.8,90,7.0,Poor
Prachi,16,Female,Urban,No,65,70,3.5,86,5.9,Poor
Sahil,16,Male,Rural,No,75,85,3.0,73,6.4,Average
Shubham,19,Male,Urban,Yes,67,79,3.8,58,7.5,Average
Neha,19,Female,Rural,No,81,65,3.1,59,9.8,Average
Komal,19,Female,Rural,Yes,82,84,3.7,41,6.2,Average
Sanjana,20,Female,Rural,No,66,97,1.3,76,8.4,Poor
Prathamesh,19,Male,Rural,No,75,92,2.7,98,7.4,Average
Anjali,20,Female,Urban,Yes,91,70,2.6,78,8.9,Average
Tanvi,17,Female,Urban,Yes,94,62,4.4,82,6.2,Average
Yash,18,Male,Urban,Yes,69,96,3.2,74,6.3,Average
Triveni,20,Female,Urban,No,91,75,3.1,52,7.7,Average
Rohit,20,Male,Rural,No,81,83,3.8,77,5.9,Poor
Tanvi,19,Female,Rural,Yes,63,74,2.5,53,5.8,Poor
Pooja,20,Female,Urban,Yes,85,65,5.7,98,4.6,Poor
Yash,16,Male,Urban,No,76,84,1.2,52,7.7,Poor
Vaibhav,16,Male,Urban,No,97,71,0.5,73,9.5,Poor
Amit,19,Male,Urban,No,64,88,4.2,62,5.2,Poor
Aishwarya,18,Female,Rural,Yes,99,62,2.6,46,9.2,Average
Yash,19,Male,Rural,Yes,64,96,4.1,77,6.4,Average
Swanand,19,Male,Urban,Yes,76,93,1.0,77,8.5,Poor
Sagar,18,Male,Urban,No,69,97,0.8,80,7.9,Poor
Omkar,19,Male,Rural,Yes,70,100,0.7,100,7.5,Poor
Chaitanya,20,Male,Rural,No,85,99,2.4,100,7.3,Average
Gaurav,17,Male,Urban,No,72,73,2.5,90,6.5,Average
Snehal,17,Female,Urban,No,71,86,3.2,80,5.5,Poor
Swanand,19,Male,Rural,No,91,97,1.9,47,7.6,Poor
Komal,17,Female,Urban,No,80,69,3.0,53,7.4,Average
Swapnil,16,Male,Rural,Yes,70,76,3.5,63,5.8,Poor
Vaibhav,20,Male,Urban,No,82,84,0.6,86,5.4,Poor
Snehal,19,Female,Urban,No,75,89,3.4,51,9.3,Average
Neha,16,Female,Rural,No,80,92,3.4,49,8.0,Average
Shubham,20,Male,Urban,No,72,72,3.9,75,7.8,Average
Sagar,18,Male,Rural,No,63,87,2.3,77,7.8,Average
Shubham,18,Male,Rural,Yes,91,66,4.8,81,6.4,Average
Nikita,17,Female,Rural,No,85,86,2.9,81,6.4,Average
Siddhi,17,Female,Rural,Yes,98,85,2.9,84,7.5,Average
Komal,17,Female,Urban,Yes,66,66,2.9,59,6.7,Average
Yash,16,Male,Rural,No,69,81,2.5,60,5.7,Poor
Sahil,19,Male,Rural,Yes,82,79,1.0,83,7.0,Poor
Aishwarya,17,Female,Rural,Yes,83,83,4.8,91,6.9,Average
